Date,Open,Close
2004-03-01,21.65,21.87
2004-03-02,21.87,21.88
2004-03-03,21.88,21.9
2004-03-04,21.9,21.95
2004-03-05,21.85,22.09
2004-03-08,22.17,22.38
2004-03-09,22.27,22.46
2004-03-10,22.4,21.87
2004-03-11,21.86,21.13
2004-03-12,21.5,21.5
2004-03-15,21.5,21.15
2004-03-16,21.16,21.15
2004-03-17,21.22,21.33
2004-03-18,21.35,21.54
2004-03-19,21.55,21.58
2004-03-22,21.45,21.37
2004-03-23,21.35,21.24
2004-03-24,21.15,21.09
2004-03-25,21.16,21.05
2004-03-26,20.95,20.98
2004-03-29,20.95,21.1
2004-03-30,21.1,21.22
2004-03-31,21.3,21.25
