Date,Open,Close
2004-03-01,51.91,52.16
2004-03-02,51.85,52.3
2004-03-03,52.3,52.43
2004-03-04,52.2,52.29
2004-03-05,52.3,52.22
2004-03-08,52.11,52.28
2004-03-09,52.05,52.75
2004-03-10,52.59,52.24
2004-03-11,52.1,51.7
2004-03-12,51.4,51.55
2004-03-15,51.35,51.35
2004-03-16,51.25,51.2
2004-03-17,51.29,51.42
2004-03-18,51.42,51.42
2004-03-19,51.1,50.93
2004-03-22,50.52,50.79
2004-03-23,51.0,50.96
2004-03-24,50.98,50.79
2004-03-25,51.0,51.22
2004-03-26,51.0,51.06
2004-03-29,51.75,52.21
2004-03-30,53.18,53.28
2004-03-31,53.25,53.85
