Date,Open,Close
2004-08-02,22.65,22.59
2004-08-03,22.7,22.24
2004-08-04,22.24,21.38
2004-08-05,20.25,19.79
2004-08-06,18.89,19.64
2004-08-09,19.8,19.53
2004-08-10,19.61,20.07
2004-08-11,19.8,19.89
2004-08-12,19.84,19.51
2004-08-13,19.54,19.62
2004-08-16,19.63,20.29
2004-08-17,20.45,20.32
2004-08-18,20.33,20.86
2004-08-19,20.83,20.15
2004-08-20,19.88,20.62
2004-08-23,20.6,20.23
2004-08-24,20.35,19.95
2004-08-25,19.45,19.52
2004-08-26,19.4,19.39
2004-08-27,19.45,19.29
2004-08-30,19.35,19.1
2004-08-31,19.08,18.74
