Date,Open,Close
2004-12-01,21.25,21.77
2004-12-02,21.56,21.77
2004-12-03,21.75,22.26
2004-12-06,22.2,22.0
2004-12-07,22.0,21.98
2004-12-08,21.94,22.05
2004-12-09,21.86,22.41
2004-12-10,22.81,22.56
2004-12-13,22.52,22.4
2004-12-14,21.99,23.0
2004-12-15,22.9,23.33
2004-12-16,23.15,23.18
2004-12-17,23.18,23.25
2004-12-20,23.45,23.13
2004-12-21,23.13,23.16
2004-12-22,23.26,23.29
2004-12-23,23.31,23.35
2004-12-27,23.3,23.1
2004-12-28,23.05,23.49
2004-12-29,23.33,23.64
2004-12-30,23.55,23.64
2004-12-31,23.6,23.86
