Date,Open,Close
2004-12-01,45.04,45.48
2004-12-02,45.4,45.51
2004-12-03,44.5,44.32
2004-12-06,44.4,44.62
2004-12-07,44.57,44.03
2004-12-08,44.58,44.15
2004-12-09,43.81,44.2
2004-12-10,44.32,44.4
2004-12-13,44.6,44.58
2004-12-14,44.25,44.54
2004-12-15,44.31,44.88
2004-12-16,44.75,44.28
2004-12-17,43.66,43.78
2004-12-20,43.82,43.77
2004-12-21,43.92,43.95
2004-12-22,44.06,44.02
2004-12-23,43.91,43.87
2004-12-27,43.85,43.72
2004-12-28,43.65,44.11
2004-12-29,44.23,44.22
2004-12-30,44.37,44.27
2004-12-31,43.77,44.26
