Date,Open,Close
2004-12-01,16.28,16.54
2004-12-02,16.4,16.17
2004-12-03,16.17,15.92
2004-12-06,15.84,16.0
2004-12-07,15.8,16.23
2004-12-08,16.24,16.55
2004-12-09,16.45,17.05
2004-12-10,17.55,16.96
2004-12-13,16.99,17.04
2004-12-14,17.02,17.51
2004-12-15,17.43,17.49
2004-12-16,17.41,17.25
2004-12-17,16.9,16.92
2004-12-20,17.17,16.95
2004-12-21,16.97,17.0
2004-12-22,17.0,17.18
2004-12-23,17.27,17.03
2004-12-27,16.97,17.12
2004-12-28,17.06,17.13
2004-12-29,17.08,17.19
2004-12-30,17.28,17.21
2004-12-31,17.21,17.54
