Date,Open,Close
2004-12-01,51.95,51.61
2004-12-02,51.68,51.58
2004-12-03,51.51,51.59
2004-12-06,51.7,51.57
2004-12-07,51.65,51.22
2004-12-08,51.0,50.23
2004-12-09,50.26,50.42
2004-12-10,51.33,50.2
2004-12-13,50.35,50.91
2004-12-14,51.07,51.66
2004-12-15,51.75,52.22
2004-12-16,52.26,52.09
2004-12-17,51.5,52.65
2004-12-20,53.0,53.22
2004-12-21,53.42,53.77
2004-12-22,53.85,53.67
2004-12-23,53.82,53.61
2004-12-27,53.75,53.13
2004-12-28,53.15,53.5
2004-12-29,53.7,53.39
2004-12-30,53.6,53.49
2004-12-31,53.7,53.28
