Date,Open,Close
2004-12-01,62.15,62.88
2004-12-02,62.88,62.67
2004-12-03,62.57,62.4
2004-12-06,62.37,62.48
2004-12-07,62.47,61.82
2004-12-08,62.25,62.42
2004-12-09,62.2,62.96
2004-12-10,64.04,63.02
2004-12-13,63.1,63.25
2004-12-14,63.25,62.95
2004-12-15,62.93,62.53
2004-12-16,62.53,62.76
2004-12-17,62.0,62.0
2004-12-20,62.35,62.08
2004-12-21,62.06,62.2
2004-12-22,62.07,62.29
2004-12-23,62.35,62.41
2004-12-27,62.6,62.31
2004-12-28,62.4,62.58
2004-12-29,62.4,62.4
2004-12-30,62.48,62.2
2004-12-31,62.26,62.15
