Date,Open,Close
2005-03-01,41.82,41.27
2005-03-02,41.0,41.78
2005-03-03,41.78,41.41
2005-03-04,41.9,43.73
2005-03-07,43.65,42.9
2005-03-08,43.2,43.01
2005-03-09,43.0,42.4
2005-03-10,41.71,40.92
2005-03-11,41.3,40.84
2005-03-14,40.88,40.97
2005-03-15,41.25,41.38
2005-03-16,41.69,40.84
2005-03-17,40.6,41.48
2005-03-18,41.48,41.19
2005-03-21,41.0,40.32
2005-03-22,40.42,40.07
2005-03-23,40.01,38.91
2005-03-24,38.91,38.72
2005-03-28,39.0,38.63
2005-03-29,38.64,37.86
2005-03-30,37.95,38.84
2005-03-31,39.31,39.61
