Date,Open,Close
2005-03-01,26.9,27.15
2005-03-02,26.9,26.97
2005-03-03,27.0,26.58
2005-03-04,26.88,26.89
2005-03-07,26.86,27.37
2005-03-08,26.58,26.34
2005-03-09,26.34,26.64
2005-03-10,26.88,27.08
2005-03-11,27.09,26.2
2005-03-14,26.18,26.26
2005-03-15,26.18,25.72
2005-03-16,25.57,25.45
2005-03-17,25.55,25.64
2005-03-18,25.7,25.44
2005-03-21,25.43,25.22
2005-03-22,25.54,25.0
2005-03-23,24.92,25.34
2005-03-24,25.43,25.51
2005-03-28,25.52,25.49
2005-03-29,25.35,25.18
2005-03-30,24.5,25.75
2005-03-31,25.75,25.49
