Date,Open,Close
2005-08-01,85.38,85.5
2005-08-02,85.5,85.57
2005-08-03,85.63,86.34
2005-08-04,85.87,85.27
2005-08-05,84.91,84.16
2005-08-08,84.6,83.47
2005-08-09,83.48,83.38
2005-08-10,83.52,83.1
2005-08-11,83.11,83.77
2005-08-12,83.53,83.67
2005-08-15,83.7,84.64
2005-08-16,84.31,83.5
2005-08-17,83.36,84.01
2005-08-18,84.0,83.66
2005-08-19,83.95,83.65
2005-08-22,83.65,82.64
2005-08-23,82.23,81.81
2005-08-24,81.4,80.98
2005-08-25,81.07,80.78
2005-08-26,80.78,80.5
2005-08-29,80.4,80.65
2005-08-30,80.11,80.7
2005-08-31,80.67,80.44
