Date,Open,Close
2006-05-01,71.25,71.68
2006-05-02,71.64,72.05
2006-05-03,71.0,67.55
2006-05-04,67.57,68.76
2006-05-05,69.09,70.01
2006-05-08,70.07,71.6
2006-05-09,71.55,70.25
2006-05-10,70.35,71.0
2006-05-11,70.75,71.01
2006-05-12,71.5,71.75
2006-05-15,71.4,71.97
2006-05-16,72.2,72.87
2006-05-17,72.87,73.31
2006-05-18,72.0,73.16
2006-05-19,73.17,71.9
2006-05-22,71.89,71.55
2006-05-23,71.59,70.71
2006-05-24,70.92,70.4
2006-05-25,70.65,72.59
2006-05-26,72.59,72.08
2006-05-30,71.5,70.84
2006-05-31,71.35,71.58
