Date,Open,Close
2006-05-01,25.53,25.0
2006-05-02,25.13,24.99
2006-05-03,24.9,24.89
2006-05-04,24.94,25.03
2006-05-05,25.1,25.28
2006-05-08,25.3,25.11
2006-05-09,25.09,25.06
2006-05-10,25.02,24.95
2006-05-11,24.95,24.62
2006-05-12,24.57,24.29
2006-05-15,24.24,24.46
2006-05-16,24.38,24.57
2006-05-17,24.4,24.13
2006-05-18,24.01,24.15
2006-05-19,24.27,24.17
2006-05-22,24.02,23.86
2006-05-23,23.87,23.99
2006-05-24,24.01,23.97
2006-05-25,24.07,24.61
2006-05-26,24.64,24.95
2006-05-30,25.0,24.56
2006-05-31,24.52,24.55
