Date,Open,Close
2006-06-01,24.25,25.0
2006-06-02,25.44,24.94
2006-06-05,24.73,24.25
2006-06-06,24.24,24.05
2006-06-07,23.7,21.95
2006-06-08,21.6,21.74
2006-06-09,23.0,22.32
2006-06-12,22.25,20.88
2006-06-13,20.69,21.0
2006-06-14,21.0,21.43
2006-06-15,21.6,22.74
2006-06-16,22.56,22.13
2006-06-19,22.25,21.63
2006-06-20,21.59,21.45
2006-06-21,21.65,21.78
2006-06-22,21.9,21.53
2006-06-23,21.45,21.56
2006-06-26,21.85,22.2
2006-06-27,21.7,21.87
2006-06-28,21.87,22.39
2006-06-29,22.45,23.88
2006-06-30,23.9,24.19
