Date,Open,Close
2006-08-01,28.32,28.05
2006-08-02,28.0,28.13
2006-08-03,27.85,28.2
2006-08-04,28.61,28.05
2006-08-07,27.94,27.75
2006-08-08,27.75,27.08
2006-08-09,27.43,27.28
2006-08-10,27.19,27.8
2006-08-11,27.19,27.2
2006-08-14,27.44,28.47
2006-08-15,30.9,31.12
2006-08-16,31.74,32.01
2006-08-17,32.0,32.28
2006-08-18,32.27,31.8
2006-08-21,31.7,31.32
2006-08-22,31.18,30.89
2006-08-23,30.8,30.54
2006-08-24,30.7,30.57
2006-08-25,30.47,30.47
2006-08-28,30.44,30.8
2006-08-29,30.88,31.36
2006-08-30,31.56,32.0
2006-08-31,32.18,32.16
