Date,Open,Close
2006-08-01,31.38,30.78
2006-08-02,30.78,31.51
2006-08-03,31.44,30.85
2006-08-04,31.04,30.33
2006-08-07,31.0,30.13
2006-08-08,30.1,30.04
2006-08-09,30.16,28.96
2006-08-10,28.89,28.0
2006-08-11,27.87,28.47
2006-08-14,28.64,28.69
2006-08-15,29.065,30.32
2006-08-16,30.65,31.18
2006-08-17,31.26,32.81
2006-08-18,32.72,32.08
2006-08-21,31.9,31.49
2006-08-22,31.53,31.06
2006-08-23,31.18,30.92
2006-08-24,31.0,31.03
2006-08-25,30.96,30.62
2006-08-28,30.5,30.71
2006-08-29,30.69,30.4
2006-08-30,30.59,30.69
2006-08-31,30.74,30.71
