Date,Open,Close
2006-10-02,44.8,45.18
2006-10-03,45.08,45.23
2006-10-04,45.11,45.03
2006-10-05,44.82,44.75
2006-10-06,44.75,45.84
2006-10-09,45.78,45.6
2006-10-10,45.54,45.33
2006-10-11,45.09,45.64
2006-10-12,45.73,46.05
2006-10-13,45.8,45.96
2006-10-16,45.99,45.84
2006-10-17,45.4,46.0
2006-10-18,46.13,46.89
2006-10-19,46.7,44.94
2006-10-20,45.05,46.0
2006-10-23,45.9,47.21
2006-10-24,46.94,46.53
2006-10-25,46.7,46.25
2006-10-26,46.18,46.64
2006-10-27,46.52,46.34
2006-10-30,46.45,46.26
2006-10-31,46.44,45.97
