Date,Open,Close
2006-10-02,20.12,20.64
2006-10-03,20.62,20.05
2006-10-04,20.0,20.47
2006-10-05,20.33,20.61
2006-10-06,20.6,20.29
2006-10-09,20.18,20.44
2006-10-10,20.57,20.4
2006-10-11,20.35,20.33
2006-10-12,20.51,20.98
2006-10-13,20.98,20.7
2006-10-16,20.8,21.0
2006-10-17,20.84,20.63
2006-10-18,20.85,20.83
2006-10-19,20.7,20.63
2006-10-20,20.73,20.59
2006-10-23,20.42,20.52
2006-10-24,20.4,20.27
2006-10-25,20.18,20.806
2006-10-26,20.8,21.39
2006-10-27,21.25,20.9
2006-10-30,20.95,20.89
2006-10-31,21.02,20.68
