Date,Open,Close
2007-03-01,15.77,15.66
2007-03-02,15.53,15.31
2007-03-05,15.03,14.9
2007-03-06,15.13,15.33
2007-03-07,15.33,15.23
2007-03-08,15.41,15.46
2007-03-09,15.48,15.48
2007-03-12,15.41,15.28
2007-03-13,15.18,15.07
2007-03-14,15.0,15.25
2007-03-15,15.31,15.25
2007-03-16,15.28,15.17
2007-03-19,15.25,15.0
2007-03-20,15.0,15.21
2007-03-21,15.21,15.4
2007-03-22,15.48,15.4
2007-03-23,15.385,15.47
2007-03-26,15.44,15.44
2007-03-27,15.35,15.28
2007-03-28,15.2,15.33
2007-03-29,15.4,15.12
2007-03-30,15.13,15.23
