Date,Open,Close
2007-08-01,52.02,52.96
2007-08-02,52.88,52.94
2007-08-03,53.0,51.38
2007-08-06,51.87,55.31
2007-08-07,54.68,55.8
2007-08-08,56.33,56.92
2007-08-09,54.8,55.78
2007-08-10,54.24,53.9
2007-08-13,53.9,53.69
2007-08-14,53.84,52.59
2007-08-15,52.4,51.74
2007-08-16,50.29,51.55
2007-08-17,54.22,53.12
2007-08-20,53.41,52.93
2007-08-21,52.86,52.2
2007-08-22,52.74,53.27
2007-08-23,53.21,53.48
2007-08-24,53.14,54.27
2007-08-27,54.03,53.47
2007-08-28,53.15,52.1
2007-08-29,52.35,53.6
2007-08-30,53.15,53.04
2007-08-31,53.7,53.31
