Date,Open,Close
2007-10-01,67.48,68.59
2007-10-02,68.5,68.95
2007-10-03,68.62,68.91
2007-10-04,69.0,68.92
2007-10-05,69.27,69.39
2007-10-08,69.14,69.37
2007-10-09,69.45,70.11
2007-10-10,69.9,68.53
2007-10-11,68.76,68.13
2007-10-12,68.13,68.09
2007-10-15,68.07,66.79
2007-10-16,66.4,66.24
2007-10-17,66.5,65.8
2007-10-18,65.55,64.88
2007-10-19,64.72,63.27
2007-10-22,62.51,63.54
2007-10-23,64.14,64.27
2007-10-24,64.05,63.84
2007-10-25,63.84,61.79
2007-10-26,62.94,62.15
2007-10-29,62.16,63.2
2007-10-30,63.1,62.81
2007-10-31,62.95,63.12
