Date,Open,Close
2007-10-01,70.44,70.91
2007-10-02,70.85,70.73
2007-10-03,70.72,70.41
2007-10-04,70.2,70.83
2007-10-05,70.9,70.83
2007-10-08,70.05,70.71
2007-10-09,71.18,71.08
2007-10-10,71.15,71.4
2007-10-11,71.65,71.77
2007-10-12,71.93,71.7
2007-10-15,71.65,71.0
2007-10-16,70.98,70.82
2007-10-17,70.64,70.59
2007-10-18,70.55,70.9
2007-10-19,71.0,70.8
2007-10-22,70.6,71.06
2007-10-23,71.17,71.26
2007-10-24,71.16,71.38
2007-10-25,71.21,71.35
2007-10-26,71.6,71.75
2007-10-29,71.95,71.83
2007-10-30,69.58,68.95
2007-10-31,69.35,69.52
