Date,Open,Close
2008-04-01,22.81,23.49
2008-04-02,23.51,24.34
2008-04-03,24.23,24.42
2008-04-04,24.52,23.72
2008-04-07,24.02,24.04
2008-04-08,23.92,23.77
2008-04-09,24.01,23.43
2008-04-10,23.38,23.98
2008-04-11,23.64,23.61
2008-04-14,23.34,22.22
2008-04-15,22.28,22.73
2008-04-16,23.39,24.2
2008-04-17,24.49,23.71
2008-04-18,24.38,24.68
2008-04-21,24.52,23.17
2008-04-22,23.02,23.12
2008-04-23,23.14,22.95
2008-04-24,23.01,23.75
2008-04-25,23.98,24.34
2008-04-28,24.5,24.21
2008-04-29,24.28,24.15
2008-04-30,24.25,24.13
