Date,Open,Close
2008-04-01,84.77,87.02
2008-04-02,86.87,88.52
2008-04-03,88.1,88.23
2008-04-04,88.48,88.74
2008-04-07,89.03,88.92
2008-04-08,88.54,89.61
2008-04-09,89.73,89.7
2008-04-10,89.69,89.55
2008-04-11,88.9,88.62
2008-04-14,88.74,89.7
2008-04-15,90.02,90.8
2008-04-16,90.99,92.89
2008-04-17,92.2,93.38
2008-04-18,93.36,94.0
2008-04-21,94.0,94.26
2008-04-22,94.1,94.39
2008-04-23,94.19,94.22
2008-04-24,93.41,92.6
2008-04-25,93.21,92.46
2008-04-28,92.57,92.45
2008-04-29,92.42,91.79
2008-04-30,92.25,93.07
