Date,Open,Close
2008-07-01,14.71,14.91
2008-07-02,14.96,14.57
2008-07-03,14.58,14.26
2008-07-07,14.29,13.85
2008-07-08,13.77,14.23
2008-07-09,14.16,14.27
2008-07-10,14.25,14.23
2008-07-11,14.1,14.06
2008-07-14,14.1,13.94
2008-07-15,14.0,13.85
2008-07-16,13.79,13.77
2008-07-17,13.79,13.6
2008-07-18,13.6,13.63
2008-07-21,13.63,13.67
2008-07-22,13.67,13.74
2008-07-23,13.66,13.54
2008-07-24,13.46,13.42
2008-07-25,13.36,13.52
2008-07-28,13.45,13.41
2008-07-29,13.36,13.5
2008-07-30,13.45,13.63
2008-07-31,13.5,13.5
