Date,Open,Close
2008-10-01,34.65,34.37
2008-10-02,34.31,32.85
2008-10-03,33.21,32.84
2008-10-06,32.11,31.72
2008-10-07,31.93,30.51
2008-10-08,30.74,31.8
2008-10-09,30.96,28.74
2008-10-10,27.63,30.0
2008-10-13,30.6,31.0
2008-10-14,35.0,29.98
2008-10-15,29.54,28.5
2008-10-16,28.43,30.09
2008-10-17,29.9,30.12
2008-10-20,31.0,28.87
2008-10-21,28.29,29.2
2008-10-22,28.8,26.97
2008-10-23,27.01,27.17
2008-10-24,25.11,26.11
2008-10-27,25.86,25.95
2008-10-28,26.28,28.48
2008-10-29,28.5,28.83
2008-10-30,29.28,28.26
2008-10-31,27.71,29.09
