Date,Open,Close
2008-10-01,31.2,30.45
2008-10-02,30.43,29.93
2008-10-03,29.29,27.83
2008-10-06,27.41,26.87
2008-10-07,26.94,25.26
2008-10-08,25.22,25.76
2008-10-09,25.68,24.57
2008-10-10,24.18,25.05
2008-10-13,25.73,26.81
2008-10-14,27.15,25.68
2008-10-15,25.33,23.74
2008-10-16,23.01,24.93
2008-10-17,24.34,24.77
2008-10-20,25.03,25.98
2008-10-21,25.59,25.04
2008-10-22,24.75,23.61
2008-10-23,23.55,23.54
2008-10-24,22.03,22.81
2008-10-27,22.41,22.45
2008-10-28,22.87,24.32
2008-10-29,24.61,24.38
2008-10-30,25.08,24.79
2008-10-31,24.73,25.06
