Date,Open,Close
2008-10-01,41.36,42.49
2008-10-02,42.25,41.06
2008-10-03,41.59,39.73
2008-10-06,38.27,38.23
2008-10-07,38.35,35.76
2008-10-08,34.55,36.66
2008-10-09,36.48,34.19
2008-10-10,32.74,33.43
2008-10-13,35.38,36.36
2008-10-14,38.41,36.61
2008-10-15,36.04,33.13
2008-10-16,32.87,34.07
2008-10-17,31.05,34.81
2008-10-20,35.58,35.96
2008-10-21,36.51,35.75
2008-10-22,34.09,32.99
2008-10-23,33.7,32.17
2008-10-24,30.18,31.02
2008-10-27,29.9,29.86
2008-10-28,30.69,31.73
2008-10-29,31.79,31.31
2008-10-30,32.03,32.22
2008-10-31,32.02,32.74
