Date,Open,Close
2008-12-01,18.59,17.77
2008-12-02,17.82,19.03
2008-12-03,18.63,19.09
2008-12-04,18.67,18.75
2008-12-05,18.044,19.98
2008-12-08,20.7,21.87
2008-12-09,21.42,19.35
2008-12-10,16.84,17.0
2008-12-11,17.24,17.01
2008-12-12,16.65,17.01
2008-12-15,17.09,16.3
2008-12-16,16.35,16.06
2008-12-17,16.0,17.22
2008-12-18,16.57,16.76
2008-12-19,17.5,17.39
2008-12-22,17.55,16.38
2008-12-23,16.49,15.85
2008-12-24,15.7,15.8
2008-12-26,15.82,15.32
2008-12-29,15.31,15.12
2008-12-30,15.1,15.34
2008-12-31,15.23,16.04
