Date,Open,Close
2008-12-01,21.65,19.35
2008-12-02,19.61,19.01
2008-12-03,18.5,18.85
2008-12-04,18.46,20.18
2008-12-05,20.16,21.27
2008-12-08,22.38,25.0
2008-12-09,24.4,23.23
2008-12-10,22.76,24.09
2008-12-11,23.88,22.84
2008-12-12,22.12,24.13
2008-12-15,24.19,23.12
2008-12-16,23.5,25.69
2008-12-17,25.05,25.67
2008-12-18,25.77,24.39
2008-12-19,25.08,24.6
2008-12-22,24.85,23.14
2008-12-23,23.54,22.18
2008-12-24,21.97,23.31
2008-12-26,23.43,23.14
2008-12-29,23.19,21.95
2008-12-30,21.96,22.14
2008-12-31,22.07,21.66
