Date,Open,Close
2008-12-01,34.08,33.44
2008-12-02,33.85,34.27
2008-12-03,33.28,34.82
2008-12-04,34.71,33.39
2008-12-05,32.89,33.53
2008-12-08,34.4,35.23
2008-12-09,34.54,34.51
2008-12-10,34.1,35.1
2008-12-11,34.34,34.78
2008-12-12,34.06,35.97
2008-12-15,36.06,34.82
2008-12-16,35.33,36.32
2008-12-17,36.06,36.47
2008-12-18,36.68,35.37
2008-12-19,35.87,35.4
2008-12-22,35.45,34.75
2008-12-23,35.02,34.55
2008-12-24,34.52,34.68
2008-12-26,34.71,34.97
2008-12-29,35.38,35.58
2008-12-30,35.74,36.19
2008-12-31,36.14,36.29
