Date,Open,Close
2009-03-02,24.16,22.86
2009-03-03,23.15,22.83
2009-03-04,23.17,23.52
2009-03-05,23.02,22.44
2009-03-06,22.63,21.59
2009-03-09,21.3,20.9
2009-03-10,21.71,22.27
2009-03-11,22.49,22.5
2009-03-12,22.5,23.33
2009-03-13,23.66,23.21
2009-03-16,23.7,24.64
2009-03-17,24.62,25.08
2009-03-18,24.86,25.12
2009-03-19,25.38,25.14
2009-03-20,25.18,24.24
2009-03-23,24.86,27.18
2009-03-24,26.88,26.93
2009-03-25,27.31,25.8
2009-03-26,26.01,27.95
2009-03-27,28.2,27.41
2009-03-30,26.84,25.63
2009-03-31,25.94,25.85
