Date,Open,Close
2009-07-01,22.75,22.54
2009-07-02,22.32,21.67
2009-07-06,21.64,21.7
2009-07-07,21.72,21.02
2009-07-08,21.07,20.71
2009-07-09,21.02,21.22
2009-07-10,21.05,20.84
2009-07-13,20.87,21.85
2009-07-14,21.79,21.83
2009-07-15,21.92,22.71
2009-07-16,22.71,22.89
2009-07-17,23.04,23.17
2009-07-20,23.15,23.07
2009-07-21,23.26,23.01
2009-07-22,23.08,23.56
2009-07-23,22.41,21.21
2009-07-24,21.1,22.03
2009-07-27,21.97,21.49
2009-07-28,21.47,21.26
2009-07-29,21.19,21.54
2009-07-30,21.75,21.81
2009-07-31,21.84,21.49
