Date,Open,Close
2009-07-01,43.145,42.86
2009-07-02,42.21,41.33
2009-07-06,41.0,41.19
2009-07-07,41.17,39.98
2009-07-08,39.86,40.26
2009-07-09,40.47,40.2
2009-07-10,39.83,40.68
2009-07-13,40.43,41.62
2009-07-14,41.77,42.08
2009-07-15,42.65,43.87
2009-07-16,43.79,44.66
2009-07-17,44.48,44.47
2009-07-20,45.04,45.9
2009-07-21,46.73,46.73
2009-07-22,46.84,47.07
2009-07-23,47.12,48.0
2009-07-24,47.62,47.93
2009-07-27,47.91,48.14
2009-07-28,47.59,47.55
2009-07-29,47.16,46.98
2009-07-30,45.79,45.7
2009-07-31,45.7,44.28
