Date,Open,Close
2009-07-01,37.53,37.2
2009-07-02,36.48,35.0
2009-07-06,34.93,35.73
2009-07-07,35.42,34.22
2009-07-08,34.42,33.28
2009-07-09,34.05,34.34
2009-07-10,34.5,33.83
2009-07-13,34.36,36.99
2009-07-14,37.76,37.32
2009-07-15,37.65,39.45
2009-07-16,39.19,39.46
2009-07-17,38.93,39.03
2009-07-20,39.725,39.74
2009-07-21,39.96,39.49
2009-07-22,38.87,39.53
2009-07-23,39.54,41.94
2009-07-24,41.57,42.83
2009-07-27,42.92,43.59
2009-07-28,43.17,42.79
2009-07-29,42.2,42.44
2009-07-30,43.81,43.86
2009-07-31,43.73,44.27
