Date,Open,Close
2009-10-01,32.42,32.19
2009-10-02,31.9,31.88
2009-10-05,31.96,31.81
2009-10-06,31.81,32.24
2009-10-07,32.21,32.28
2009-10-08,32.34,32.39
2009-10-09,32.31,32.35
2009-10-12,32.5,32.62
2009-10-13,32.61,32.41
2009-10-14,32.57,32.29
2009-10-15,32.2,32.54
2009-10-16,32.36,32.62
2009-10-19,32.66,32.96
2009-10-20,33.01,32.77
2009-10-21,32.71,32.45
2009-10-22,32.37,32.31
2009-10-23,32.35,31.89
2009-10-26,31.96,31.84
2009-10-27,31.81,32.05
2009-10-28,32.04,31.87
2009-10-29,31.99,32.32
2009-10-30,32.3,31.75
