Date,Open,Close
2009-10-01,42.21,40.69
2009-10-02,40.05,40.01
2009-10-05,39.86,39.83
2009-10-06,39.84,39.48
2009-10-07,39.46,39.14
2009-10-08,39.24,39.61
2009-10-09,39.65,40.09
2009-10-12,40.18,40.22
2009-10-13,40.18,40.51
2009-10-14,40.63,41.14
2009-10-15,41.14,41.48
2009-10-16,41.41,41.36
2009-10-19,41.3,41.39
2009-10-20,41.39,40.87
2009-10-21,40.78,40.78
2009-10-22,40.9,41.87
2009-10-23,41.96,41.63
2009-10-26,41.76,42.33
2009-10-27,42.19,42.87
2009-10-28,42.73,41.65
2009-10-29,41.63,42.22
2009-10-30,41.1,40.98
