Date,Open,Close
2009-10-01,18.1,16.3757
2009-10-02,16.11,16.68
2009-10-05,16.63,17.13
2009-10-06,17.37,17.36
2009-10-07,17.58,17.34
2009-10-08,17.53,17.14
2009-10-09,17.15,17.27
2009-10-12,17.11,17.0
2009-10-13,17.2,18.02
2009-10-14,18.17,18.65
2009-10-15,18.5,18.82
2009-10-16,18.44,18.17
2009-10-19,18.23,18.33
2009-10-20,17.03,17.23
2009-10-21,17.07,16.73
2009-10-22,16.67,17.38
2009-10-23,17.34,16.82
2009-10-26,16.76,15.65
2009-10-27,15.68,15.29
2009-10-28,15.3,14.57
2009-10-29,14.8,15.08
2009-10-30,14.94,14.16
