Date,Open,Close
2009-12-01,10.64,10.58
2009-12-02,10.56,10.94
2009-12-03,10.89,10.57
2009-12-04,10.93,10.95
2009-12-07,10.92,10.49
2009-12-08,10.41,10.27
2009-12-09,10.32,10.29
2009-12-10,10.31,10.31
2009-12-11,10.35,10.56
2009-12-14,10.56,10.97
2009-12-15,10.3,10.75
2009-12-16,10.72,11.05
2009-12-17,10.92,11.07
2009-12-18,11.09,11.31
2009-12-21,11.33,11.67
2009-12-22,11.62,11.77
2009-12-23,11.72,11.77
2009-12-24,11.94,12.02
2009-12-28,12.01,11.96
2009-12-29,11.99,11.89
2009-12-30,11.93,12.04
2009-12-31,11.95,11.67
