Date,Open,Close
2010-03-01,101.8,104.21
2010-03-02,104.38,103.58
2010-03-03,103.94,104.54
2010-03-04,104.54,104.7
2010-03-05,104.9,106.89
2010-03-08,107.0,106.65
2010-03-09,106.28,107.56
2010-03-10,107.37,108.08
2010-03-11,107.55,108.67
2010-03-12,108.48,107.83
2010-03-15,107.52,107.13
2010-03-16,107.65,107.75
2010-03-17,108.26,108.35
2010-03-18,108.05,108.37
2010-03-19,108.59,107.56
2010-03-22,107.1,108.4
2010-03-23,108.37,109.34
2010-03-24,109.19,108.88
2010-03-25,109.37,108.75
2010-03-26,108.98,109.05
2010-03-29,109.17,109.47
2010-03-30,109.62,109.26
2010-03-31,108.97,108.12
