Date,Open,Close
2010-03-01,26.71,27.17
2010-03-02,27.24,27.21
2010-03-03,27.19,27.18
2010-03-04,27.18,27.28
2010-03-05,27.42,28.11
2010-03-08,28.08,28.21
2010-03-09,28.19,28.04
2010-03-10,28.04,27.75
2010-03-11,27.67,28.26
2010-03-12,28.3,28.26
2010-03-15,28.1,28.6
2010-03-16,28.61,28.73
2010-03-17,28.75,28.74
2010-03-18,28.75,29.66
2010-03-19,29.78,29.66
2010-03-22,29.48,30.02
2010-03-23,29.98,30.32
2010-03-24,30.2,30.33
2010-03-25,30.5,30.51
2010-03-26,30.5,30.26
2010-03-29,30.37,30.54
2010-03-30,30.49,30.23
2010-03-31,30.05,29.75
