Date,Open,Close
2010-03-01,28.0,28.82
2010-03-02,28.79,28.76
2010-03-03,28.8,28.77
2010-03-04,28.77,28.78
2010-03-05,29.04,29.92
2010-03-08,29.91,29.65
2010-03-09,29.59,29.86
2010-03-10,29.93,30.18
2010-03-11,30.03,30.32
2010-03-12,30.37,30.15
2010-03-15,30.05,30.3
2010-03-16,30.35,30.83
2010-03-17,30.99,31.4
2010-03-18,31.51,31.4
2010-03-19,31.49,31.16
2010-03-22,30.98,31.41
2010-03-23,31.33,31.58
2010-03-24,31.53,30.86
2010-03-25,31.17,30.75
2010-03-26,30.82,30.91
2010-03-29,31.03,31.15
2010-03-30,31.14,31.02
2010-03-31,30.91,30.43
