Date,Open,Close
2010-03-01,17.65,17.64
2010-03-02,17.59,18.2
2010-03-03,18.31,18.62
2010-03-04,18.62,18.82
2010-03-05,18.92,19.57
2010-03-08,19.59,19.62
2010-03-09,19.43,19.53
2010-03-10,19.61,20.52
2010-03-11,20.41,20.41
2010-03-12,20.52,20.44
2010-03-15,20.36,20.36
2010-03-16,20.42,20.56
2010-03-17,20.63,20.66
2010-03-18,20.67,20.55
2010-03-19,20.6,20.31
2010-03-22,19.79,20.29
2010-03-23,20.3,20.3
2010-03-24,20.11,20.69
2010-03-25,20.81,19.87
2010-03-26,20.0,19.72
2010-03-29,19.84,19.89
2010-03-30,19.92,19.84
2010-03-31,19.81,19.7
