Date,Open,Close
2010-05-03,112.82,113.56
2010-05-04,109.35,110.24
2010-05-05,108.0,105.17
2010-05-06,104.4,102.37
2010-05-07,101.82,100.84
2010-05-10,102.67,106.49
2010-05-11,104.98,104.74
2010-05-12,105.0,108.38
2010-05-13,108.11,108.08
2010-05-14,106.94,106.09
2010-05-17,106.16,103.23
2010-05-18,104.99,102.84
2010-05-19,102.52,102.23
2010-05-20,99.64,96.29
2010-05-21,94.38,100.59
2010-05-24,99.63,97.36
2010-05-25,93.5,98.71
2010-05-26,100.02,99.74
2010-05-27,101.97,106.51
2010-05-28,106.03,104.84
