Date,Open,Close
2010-06-01,25.83,25.37
2010-06-02,25.43,25.86
2010-06-03,25.81,26.1
2010-06-04,25.63,25.01
2010-06-07,25.0,24.61
2010-06-08,24.6,24.77
2010-06-09,24.87,24.62
2010-06-10,24.98,25.35
2010-06-11,25.07,25.3
2010-06-14,25.51,25.19
2010-06-15,25.36,25.98
2010-06-16,25.87,25.91
2010-06-17,25.94,25.99
2010-06-18,26.04,26.1
2010-06-21,26.4,25.78
2010-06-22,25.88,25.31
2010-06-23,25.29,25.23
2010-06-24,25.1,24.93
2010-06-25,24.92,24.92
2010-06-28,25.01,25.03
2010-06-29,24.74,24.22
2010-06-30,24.17,23.97
