Date,Open,Close
2010-08-02,55.51,55.42
2010-08-03,61.86,60.62
2010-08-04,60.59,61.57
2010-08-05,60.5,61.0
2010-08-06,60.06,60.93
2010-08-09,61.06,61.27
2010-08-10,60.39,61.18
2010-08-11,59.81,59.29
2010-08-12,58.2,58.94
2010-08-13,58.51,58.28
2010-08-16,57.98,58.49
2010-08-17,58.8,59.86
2010-08-18,59.57,59.98
2010-08-19,59.58,59.07
2010-08-20,58.92,59.61
2010-08-23,59.93,59.06
2010-08-24,58.46,58.21
2010-08-25,57.53,58.18
2010-08-26,58.46,57.52
2010-08-27,58.02,58.59
2010-08-30,58.31,57.5
2010-08-31,57.15,57.605
