Date,Open,Close
2010-08-02,23.93,24.37
2010-08-03,24.19,23.69
2010-08-04,23.69,23.61
2010-08-05,23.45,23.52
2010-08-06,23.25,23.23
2010-08-09,23.31,23.35
2010-08-10,23.21,23.11
2010-08-11,22.84,22.28
2010-08-12,22.05,22.18
2010-08-13,22.13,21.97
2010-08-16,21.93,22.0
2010-08-17,22.2,22.01
2010-08-18,22.05,21.91
2010-08-19,21.89,21.42
2010-08-20,21.22,21.58
2010-08-23,21.68,21.31
2010-08-24,21.05,20.99
2010-08-25,20.75,20.95
2010-08-26,21.0,20.43
2010-08-27,20.58,20.76
2010-08-30,20.82,20.32
2010-08-31,20.245,20.28
