Date,Open,Close
2011-03-01,23.24,22.91
2011-03-02,22.93,22.93
2011-03-03,23.12,23.17
2011-03-04,23.1,23.16
2011-03-07,23.2,23.05
2011-03-08,23.08,23.28
2011-03-09,23.22,23.38
2011-03-10,23.13,23.35
2011-03-11,23.34,23.37
2011-03-14,23.25,23.26
2011-03-15,22.94,23.03
2011-03-16,22.9,22.83
2011-03-17,23.19,22.48
2011-03-18,22.69,22.77
2011-03-21,22.89,23.06
2011-03-22,23.08,22.99
2011-03-23,22.64,22.93
2011-03-24,23.2,23.4
2011-03-25,23.43,23.83
2011-03-28,23.84,23.74
2011-03-29,23.75,23.71
2011-03-30,23.77,23.85
2011-03-31,23.9,23.75
