Date,Open,Close
2011-03-01,79.51,79.53
2011-03-02,79.41,80.65
2011-03-03,81.41,80.8
2011-03-04,80.92,83.76
2011-03-07,83.96,82.48
2011-03-08,82.74,83.12
2011-03-09,83.0,82.32
2011-03-10,81.92,80.89
2011-03-11,80.7,81.78
2011-03-14,81.44,81.56
2011-03-15,80.44,80.53
2011-03-16,80.35,79.37
2011-03-17,80.53,80.56
2011-03-18,81.15,79.77
2011-03-21,80.51,79.72
2011-03-22,80.29,81.62
2011-03-23,81.35,82.87
2011-03-24,83.04,82.84
2011-03-25,83.0,83.18
2011-03-28,83.29,83.01
2011-03-29,82.69,83.01
2011-03-30,83.34,84.13
2011-03-31,83.97,85.51
