Date,Open,Close
2011-03-01,72.55,71.51
2011-03-02,71.27,72.03
2011-03-03,72.61,72.41
2011-03-04,72.17,71.91
2011-03-07,72.21,70.67
2011-03-08,70.54,71.33
2011-03-09,71.06,71.29
2011-03-10,70.65,70.56
2011-03-11,70.3,71.7
2011-03-14,71.27,70.46
2011-03-15,69.2,69.84
2011-03-16,69.32,69.15
2011-03-17,69.61,69.8
2011-03-18,70.26,69.6
2011-03-21,70.04,68.605
2011-03-22,68.6,67.99
2011-03-23,67.7,68.92
2011-03-24,69.24,69.73
2011-03-25,69.99,70.23
2011-03-28,70.23,70.09
2011-03-29,69.91,70.18
2011-03-30,70.6,71.71
2011-03-31,71.56,71.12
