Date,Open,Close
2011-03-01,63.26,62.47
2011-03-02,62.51,63.06
2011-03-03,63.4,64.56
2011-03-04,64.26,63.67
2011-03-07,63.98,63.31
2011-03-08,63.8,65.07
2011-03-09,64.66,64.36
2011-03-10,63.85,62.92
2011-03-11,63.01,63.02
2011-03-14,63.02,62.34
2011-03-15,60.73,61.41
2011-03-16,61.17,60.34
2011-03-17,61.11,60.59
2011-03-18,61.37,61.52
2011-03-21,62.17,62.03
2011-03-22,62.16,61.74
2011-03-23,61.65,61.35
2011-03-24,61.47,61.19
2011-03-25,61.23,61.12
2011-03-28,61.35,60.71
2011-03-29,60.55,61.09
2011-03-30,61.39,60.76
2011-03-31,60.71,60.8
