Date,Open,Close
2011-06-01,19.45,18.66
2011-06-02,18.66,18.43
2011-06-03,18.17,18.68
2011-06-06,18.68,18.1
2011-06-07,18.22,18.34
2011-06-08,18.3,18.11
2011-06-09,18.19,17.67
2011-06-10,17.66,17.23
2011-06-13,17.27,17.19
2011-06-14,17.42,17.39
2011-06-15,17.26,17.16
2011-06-16,17.24,17.42
2011-06-17,17.59,17.73
2011-06-20,17.65,18.02
2011-06-21,18.15,18.16
2011-06-22,18.09,18.27
2011-06-23,17.86,18.04
2011-06-24,18.04,18.08
2011-06-27,18.14,18.26
2011-06-28,18.32,18.44
2011-06-29,18.54,18.66
2011-06-30,18.75,18.64
