Date,Open,Close
2011-08-01,89.27,88.35
2011-08-02,84.79,82.55
2011-08-03,82.57,83.0
2011-08-04,81.78,77.73
2011-08-05,78.92,77.65
2011-08-08,75.39,70.29
2011-08-09,71.85,74.37
2011-08-10,73.36,71.05
2011-08-11,71.8,74.5
2011-08-12,75.27,75.1
2011-08-15,75.74,75.56
2011-08-16,74.37,73.49
2011-08-17,74.32,72.9
2011-08-18,70.62,68.18
2011-08-19,67.23,67.09
2011-08-22,68.59,66.75
2011-08-23,67.15,70.24
2011-08-24,69.92,71.15
2011-08-25,71.59,70.38
2011-08-26,69.45,72.53
2011-08-29,73.48,74.32
2011-08-30,73.89,75.74
2011-08-31,76.37,75.93
