Date,Open,Close
2011-08-01,27.51,27.27
2011-08-02,26.98,26.8
2011-08-03,26.83,26.92
2011-08-04,26.53,25.94
2011-08-05,25.97,25.68
2011-08-08,25.02,24.48
2011-08-09,24.71,25.58
2011-08-10,24.95,24.2
2011-08-11,24.5,25.19
2011-08-12,25.13,25.1
2011-08-15,25.24,25.51
2011-08-16,25.215,25.35
2011-08-17,25.25,25.245
2011-08-18,24.57,24.67
2011-08-19,24.41,24.05
2011-08-22,24.42,23.98
2011-08-23,24.03,24.72
2011-08-24,24.65,24.9
2011-08-25,25.08,24.57
2011-08-26,24.51,25.25
2011-08-29,25.53,25.84
2011-08-30,25.73,26.23
2011-08-31,26.29,26.6
