Date,Open,Close
2011-08-01,55.55,55.41
2011-08-02,55.11,54.24
2011-08-03,54.31,54.03
2011-08-04,53.62,52.49
2011-08-05,52.89,52.81
2011-08-08,51.93,50.17
2011-08-09,50.75,51.94
2011-08-10,51.27,50.19
2011-08-11,50.33,52.45
2011-08-12,52.82,52.69
2011-08-15,52.96,54.74
2011-08-16,54.35,54.69
2011-08-17,55.02,55.05
2011-08-18,54.18,54.59
2011-08-19,54.21,54.29
2011-08-22,55.11,54.13
2011-08-23,54.41,55.12
2011-08-24,54.52,56.04
2011-08-25,56.16,55.21
2011-08-26,54.91,55.41
2011-08-29,55.94,56.29
2011-08-30,56.1,56.44
2011-08-31,56.58,56.72
