Date,Open,Close
2011-08-01,24.76,24.44
2011-08-02,24.28,23.69
2011-08-03,23.69,23.66
2011-08-04,23.6,22.16
2011-08-05,22.48,22.16
2011-08-08,21.65,20.35
2011-08-09,20.64,21.48
2011-08-10,20.93,21.02
2011-08-11,21.07,22.45
2011-08-12,22.67,22.27
2011-08-15,22.43,22.87
2011-08-16,22.54,22.44
2011-08-17,22.62,22.26
2011-08-18,21.78,21.79
2011-08-19,21.47,21.38
2011-08-22,21.83,21.19
2011-08-23,21.63,21.72
2011-08-24,21.65,22.31
2011-08-25,22.39,21.59
2011-08-26,21.5,21.91
2011-08-29,22.09,22.64
2011-08-30,22.56,22.61
2011-08-31,22.84,23.44
