Date,Open,Close
2011-08-01,59.08,58.685
2011-08-02,58.14,56.98
2011-08-03,57.07,58.13
2011-08-04,57.58,56.91
2011-08-05,57.69,58.35
2011-08-08,57.41,57.51
2011-08-09,58.16,59.99
2011-08-10,58.9,57.53
2011-08-11,58.01,59.02
2011-08-12,59.15,60.23
2011-08-15,60.37,60.74
2011-08-16,60.09,60.66
2011-08-17,60.86,61.06
2011-08-18,59.88,61.36
2011-08-19,60.55,61.07
2011-08-22,62.06,61.84
2011-08-23,62.0,63.19
2011-08-24,62.87,63.96
2011-08-25,63.98,62.93
2011-08-26,62.81,63.93
2011-08-29,64.37,65.24
2011-08-30,64.76,65.15
2011-08-31,65.44,64.88
