Date,Open,Close
2011-08-01,43.28,42.15
2011-08-02,41.88,40.35
2011-08-03,40.48,40.09
2011-08-04,39.49,38.99
2011-08-05,39.5,39.2
2011-08-08,38.85,35.72
2011-08-09,36.41,37.31
2011-08-10,36.41,35.9
2011-08-11,36.07,36.69
2011-08-12,36.83,36.84
2011-08-15,37.09,38.075
2011-08-16,37.31,37.68
2011-08-17,37.8,37.26
2011-08-18,36.24,34.88
2011-08-19,34.34,34.02
2011-08-22,34.78,34.19
2011-08-23,34.43,35.88
2011-08-24,35.73,36.43
2011-08-25,36.65,35.36
2011-08-26,35.3,35.8
2011-08-29,36.32,38.0
2011-08-30,37.75,38.12
2011-08-31,38.25,37.63
