Date,Open,Close
2011-08-01,94.62,93.0
2011-08-02,92.08,88.99
2011-08-03,89.61,87.59
2011-08-04,85.51,81.09
2011-08-05,82.41,78.58
2011-08-08,75.24,70.58
2011-08-09,72.16,76.14
2011-08-10,75.11,73.42
2011-08-11,73.9,77.4
2011-08-12,78.46,77.55
2011-08-15,77.89,80.66
2011-08-16,79.26,79.14
2011-08-17,79.67,78.94
2011-08-18,75.87,73.75
2011-08-19,72.98,71.91
2011-08-22,73.99,71.5
2011-08-23,71.76,73.82
2011-08-24,73.39,74.48
2011-08-25,75.24,72.48
2011-08-26,71.76,74.09
2011-08-29,75.41,76.22
2011-08-30,75.48,76.48
2011-08-31,77.54,78.17
