Date,Open,Close
2011-08-01,51.67,51.1
2011-08-02,50.5,48.95
2011-08-03,49.07,49.75
2011-08-04,49.61,47.81
2011-08-05,48.34,48.65
2011-08-08,47.6,46.44
2011-08-09,46.89,48.95
2011-08-10,48.26,46.7
2011-08-11,47.02,47.27
2011-08-12,47.93,48.48
2011-08-15,48.68,48.42
2011-08-16,48.11,49.37
2011-08-17,52.03,50.55
2011-08-18,49.52,50.64
2011-08-19,50.03,49.92
2011-08-22,50.63,50.05
2011-08-23,50.05,50.63
2011-08-24,50.58,51.0
2011-08-25,50.96,50.3
2011-08-26,50.09,50.83
2011-08-29,51.3,51.34
2011-08-30,51.13,50.96
2011-08-31,51.23,51.67
