Date,Open,Close
2011-10-03,70.61,70.43
2011-10-04,70.36,77.63
2011-10-05,75.93,82.57
2011-10-06,82.45,85.75
2011-10-07,85.76,85.01
2011-10-10,86.7,87.31
2011-10-11,86.92,87.06
2011-10-12,88.54,87.8
2011-10-13,87.0,87.45
2011-10-14,88.45,90.07
2011-10-17,89.79,87.04
2011-10-18,87.48,88.5
2011-10-19,88.19,86.46
2011-10-20,87.6,86.72
2011-10-21,87.42,88.92
2011-10-24,89.1301,93.42
2011-10-25,92.77,88.76
2011-10-26,97.25,101.26
2011-10-27,103.03,105.72
2011-10-28,104.41,107.63
2011-10-31,105.68,103.95
