Date,Open,Close
2011-10-03,38.06,37.23
2011-10-04,36.71,38.77
2011-10-05,38.76,40.15
2011-10-06,40.04,40.08
2011-10-07,40.19,41.54
2011-10-10,42.26,42.91
2011-10-11,42.56,42.91
2011-10-12,43.18,43.83
2011-10-13,43.42,43.76
2011-10-14,44.26,43.85
2011-10-17,43.7,43.23
2011-10-18,43.18,43.75
2011-10-19,43.65,43.22
2011-10-20,42.708,42.54
2011-10-21,43.17,43.3
2011-10-24,43.78,44.82
2011-10-25,44.9899,44.82
2011-10-26,45.83,45.21
2011-10-27,46.5201,47.31
2011-10-28,45.94,47.35
2011-10-31,46.78,47.09
