Date,Open,Close
2011-11-01,28.5199,28.59
2011-11-02,28.88,29.35
2011-11-03,29.63,30.16
2011-11-04,29.97,29.79
2011-11-07,29.67,29.92
2011-11-08,30.16,30.42
2011-11-09,27.49,28.08
2011-11-10,28.22,28.03
2011-11-11,28.17,28.43
2011-11-14,28.35,28.24
2011-11-15,28.13,28.47
2011-11-16,28.24,28.54
2011-11-17,28.48,27.69
2011-11-18,27.72,27.18
2011-11-21,26.85,26.63
2011-11-22,26.47,26.33
2011-11-23,26.05,25.94
2011-11-25,25.72,25.83
2011-11-28,26.49,26.62
2011-11-29,26.69,26.07
2011-11-30,26.8,27.42
