Date,Open,Close
2011-11-01,103.49,103.54
2011-11-02,106.45,106.13
2011-11-03,108.03,107.68
2011-11-04,106.33,105.04
2011-11-07,104.95,105.57
2011-11-08,106.41,108.58
2011-11-09,104.99,99.67
2011-11-10,101.87,99.5
2011-11-11,100.89,101.66
2011-11-14,100.52,99.29
2011-11-15,98.3,99.75
2011-11-16,98.87,95.6
2011-11-17,95.99,92.35
2011-11-18,92.47,91.91
2011-11-21,90.18,91.3
2011-11-22,90.71,89.4
2011-11-23,88.98,87.89
2011-11-25,88.06,88.75
2011-11-28,92.72,90.78
2011-11-29,90.35,88.81
2011-11-30,92.4,95.86
